Rank,Title,Views,Date,URL
214,交易频率｜一年应该做多少笔交易？,9543,4y ago,https://www.youtube.com/watch?v=smk3BlXQySA
215,5个重要的交易常识｜分享让我欲言又止的交易问题,9510,2y ago,https://www.youtube.com/watch?v=EJTrBMrFYLI
216,15年交易经验：我的交易设备和软件｜背后逻辑｜我对AI或工具的看法｜什么是真正的交易自由,9490,3mo ago,https://www.youtube.com/watch?v=LaKASn_ZObM
217,高手的秘诀，交易盈利竟然和“它”有关！,9455,4mo ago,https://www.youtube.com/watch?v=YSZqVOmkJn0
218,被80%交易者忽略的“4个交易优势”｜10个重要的交易优势系列,9396,2y ago,https://www.youtube.com/watch?v=XxDrJiOm4FQ
219,13年职业交易员：交易系统包括什么？,9378,2y ago,https://www.youtube.com/watch?v=NypIBInO5j0
220,13年职业交易员：裸K技术｜市场加速运行，背后筹码运作规律与应用｜PAUB-4,9353,2y ago,https://www.youtube.com/watch?v=nB1DE3QP1nE
221,15年交易经验：分享我的交易经历，解决情绪化交易的问题｜如何做好交易执行,9253,5mo ago,https://www.youtube.com/watch?v=LPh0b-9bpnE
222,深入理解均线指标｜一位价格行为交易者，徒手画均线,9198,5y ago,https://www.youtube.com/watch?v=6otPeAh-ru8
223,这样做行情分析对么？专业交易员如何做行情分析,9181,1y ago,https://www.youtube.com/watch?v=rvMVnCCj_Cg
224,交易认知的稳定性｜四字箴言｜养成交易一致性的妙招,9181,4y ago,https://www.youtube.com/watch?v=G8xBNX90Odg
225,80%交易者的认识误区：短中长线的选择和界定,9174,3y ago,https://www.youtube.com/watch?v=UKYbQn7g5eI
226,15年经验分享：交易最终会趋向于平淡,9125,8mo ago,https://www.youtube.com/watch?v=Hbgl_FCvER0
227,13年交易经验：怎么持仓和获利平仓？｜附：3笔真实案例演示,9111,2y ago,https://www.youtube.com/watch?v=_xiaGRppk3k
228,15年交易经验：看准行情的时候最危险,9099,8mo ago,https://www.youtube.com/watch?v=m73xw_mtTl4
229,可复制的交易方法｜交易复盘｜谈交易不稳定的症结,9054,3y ago,https://www.youtube.com/watch?v=k5UoxIP2YMI
230,答疑系列：主力买卖迹象｜识别趋势反转｜是否要持续盯盘,9025,4y ago,https://www.youtube.com/watch?v=AmtJe3-ZFD4
231,11年交易经验分享：3笔真实交易案例复盘｜期货｜外汇,8826,5y ago,https://www.youtube.com/watch?v=-6NDoLy0j2g
232,让交易者无法真正盈利的原因｜为何判断的挺准，但始终无法盈利？,8818,6mo ago,https://www.youtube.com/watch?v=NiNzv1JSdKo
233,有效过滤市场噪音｜高级价格图表：砖形图 Renko Chart,8818,4y ago,https://www.youtube.com/watch?v=AqD4Ql2A4JE
234,分享两则交易故事：谈怎样正确贪婪去赚钱，怎样是错误的贪婪，如何规避,8778,9mo ago,https://www.youtube.com/watch?v=miNBr-kjJ4E
235,支撑阻力的形成原理：“反身性”驱动力,8699,4y ago,https://www.youtube.com/watch?v=hhy05cjU_gU
236,做好交易，需要具备这些重要能力01,8663,1y ago,https://www.youtube.com/watch?v=da3OsRML0jo
237,【海外期货外汇交易培训课程】如何高效地寻找支持阻力位（上）,8653,6y ago,https://www.youtube.com/watch?v=c_NcWLt8ES8
238,答疑系列：如何整合技术分析工具，形成交易系统？,8580,4y ago,https://www.youtube.com/watch?v=j2gEjZfGpgE
239,"一笔盈利20,000美金交易的前前后后｜谈谈持仓和平仓的核心",8576,1y ago,https://www.youtube.com/watch?v=HvtoA4w3BiA
240,不适合做交易？该不该放弃交易？,8566,2y ago,https://www.youtube.com/watch?v=IbAa1vE1UG4
241,15年交易经验分享：深入理解K线技术,8558,7mo ago,https://www.youtube.com/watch?v=FhY9Q43qIKI
242,一个重要交易逻辑，两笔值得展开的交易案例,8506,2y ago,https://www.youtube.com/watch?v=AVuyO5oX9E4
243,总想逆势操作，怎么办？｜可靠的交易依据是什么？,8448,1y ago,https://www.youtube.com/watch?v=3T8n8shGGU8
244,15年交易经验：怎样把开平仓做好，都是细节｜涵盖了90%交易常见问题，该怎么解决？,8416,6mo ago,https://www.youtube.com/watch?v=PJp-cR6xKuU
245,锁单：锁住利润还是锁住亏损｜锁单和止损的区别,8383,4y ago,https://www.youtube.com/watch?v=Xl_i8d10z40
246,交易书籍共读｜真正的交易者不应痴迷预测，而应重点关注它,8370,1y ago,https://www.youtube.com/watch?v=1lCu4makDuw
247,交易答疑系列：交易道理都明白，就是做不到，该怎么办？｜交易执行力｜交易习惯｜交易行为,8370,2y ago,https://www.youtube.com/watch?v=E4qKZIQaKh4
248,关乎每一位交易者｜15年经验分享：交易中的两个“致命问题”,8356,4mo ago,https://www.youtube.com/watch?v=TRtxZsAreOA
249,交易世界中的“概率与因果”｜区别概率与因果的差别，是交易者的巨大飞跃,8240,2y ago,https://www.youtube.com/watch?v=6hBSBdV3H0g
250,接触上万名交易，分享交易者如何自我驱动，自我成长？｜从问题入手，提问即所思。,8218,1y ago,https://www.youtube.com/watch?v=l5S8Xgqw1CE
251,技术专场：使用技术分析的三大误区,8161,3y ago,https://www.youtube.com/watch?v=ejm1vBDnCys
252,交易技術分析｜金融市場中為何會出現支撐和阻力作用？,8147,6y ago,https://www.youtube.com/watch?v=PoAgBI9rU94
253,10个重要的交易优势｜13年交易经验总结,8123,2y ago,https://www.youtube.com/watch?v=h1eZFPP3B7k
254,牛市还可持续么？大家忽略的5个市场现象与规律｜牛市启示录,8085,1y ago,https://www.youtube.com/watch?v=gYXbMEdZn4c
255,每一位交易者都要思考：在交易世界，你相信什么？｜你会用多少风险来验证你相信的,8044,1y ago,https://www.youtube.com/watch?v=mT6XMfFO2HM
256,只看书能不能学会交易？｜分享我交易生涯中，阅读过程和帮助｜我的读书观｜交易投资书籍｜《我的交易室》｜《跨市场交易策略》｜《艾略特波浪理论》,8012,1y ago,https://www.youtube.com/watch?v=uUVc1R3rtho
257,交易认知系列｜有人说：交易技术不重要｜交易技术进阶步骤,7948,2y ago,https://www.youtube.com/watch?v=sbIxrYYrZ3A
258,怎样可以持续盈利｜让盈利更长久的方法,7945,8mo ago,https://www.youtube.com/watch?v=JvS2xFUaTy4
259,答疑｜交易成长路径：技术成长的12字法则,7944,3y ago,https://www.youtube.com/watch?v=MSCDrTunRVc
260,11年跨市場交易員：金融交易者的未來發展｜附5條真實建議,7927,4y ago,https://www.youtube.com/watch?v=88v5nOKcnwY
261,市场的平衡与失衡：谁来推动价格的方向｜价格行为交易底层原理,7915,1y ago,https://www.youtube.com/watch?v=20BC_RWqOTI
262,TRUMP币交易故事｜我在75止盈，我朋友在75取消了止盈…｜新手陷阱｜止盈艺术,7868,1y ago,https://www.youtube.com/watch?v=TRuT2Xr-tfM
263,路肖南频道｜交易回忆录：交易位置、入场时机、持仓注意事项｜交易复盘,7854,3y ago,https://www.youtube.com/watch?v=1_gLkF2C1Ak
264,11年交易经验分享：深度理解“交易边界”，攻克交易执行的瓶颈,7816,5y ago,https://www.youtube.com/watch?v=4Q8HGenwIP8
265,真实交易案例回顾｜开平仓理由和心法｜筹码积累｜吸筹｜持仓心态,7746,2y ago,https://www.youtube.com/watch?v=JLuQDbDsyNg
266,細數金融世界中4種超經典的投資理論|有效市場假說|隨機漫步理論|技術分析|行為金融學,7705,6y ago,https://www.youtube.com/watch?v=kVZSKD0wrHM
267,90%交易者误解了稳定盈利,7576,1y ago,https://www.youtube.com/watch?v=R4eL391pM00
268,10年交易經驗分享：想要交易做得好，盡量減少「人為干預」,7555,5y ago,https://www.youtube.com/watch?v=vbKUT16EofU
269,我喜欢交易的行情｜我对交易的要求和标准,7534,1y ago,https://www.youtube.com/watch?v=nnQLrYapXSI
270,有人问：做交易有点无聊了，是什么水平？,7496,1y ago,https://www.youtube.com/watch?v=z4Ynjqe6LVo
271,蜡烛图技术系列：吞没形态的内部结构和衍生形态,7461,4y ago,https://www.youtube.com/watch?v=leV8RJYMfBE
272,为何总“卖飞”｜专业交易者该如何平仓？,7452,4y ago,https://www.youtube.com/watch?v=SWIjmVdMkvQ
273,專業交易思維養成｜漲跌思維和系統思維,7397,4y ago,https://www.youtube.com/watch?v=mVuQaEQRdwc
274,无法忍受错过行情，怎么办？,7387,1y ago,https://www.youtube.com/watch?v=S6jrwmJqGGw
275,交易盈利的标志：没人愿意长期跟你对赌｜稳定盈利｜交易系统,7268,3mo ago,https://www.youtube.com/watch?v=wUI_5tW-xpo
276,15年经验分享：交易中的真话和假话，你相信么？80%交易者更信假话,7254,2mo ago,https://www.youtube.com/watch?v=rs05X6KGcBw
277,"$TSLA获利$52,000的交易逻辑｜若想长期获利，必须认清这一点",7214,1y ago,https://www.youtube.com/watch?v=oSjyEH3JdK4
278,建立交易系统需要注意什么？｜为何说“真正的交易者不需要解释空间”？,7152,2y ago,https://www.youtube.com/watch?v=7EjosizxbhE
279,【海外期货外汇交易培训课程】如何正确使用蜡烛图技术,7137,6y ago,https://www.youtube.com/watch?v=wOvRTC5GtkQ
280,【海外期货外汇交易培训课程】如何高效地寻找支持阻力位（中）,7132,6y ago,https://www.youtube.com/watch?v=ItS9Ta5f3fw
281,11年交易经验：越跌越买，靠谱么？｜Dollar Cost Averaging 成本平摊法的使用建议,7040,5y ago,https://www.youtube.com/watch?v=NjvBQeEViq4
282,交易顶尖思维：真正理解“知行合一”,6973,1y ago,https://www.youtube.com/watch?v=54jbQcl1xI0
283,你是否想知道市场涨跌的具体原因？,6963,3y ago,https://www.youtube.com/watch?v=IgHEbLbESK8
284,极端行情下的“系统性风险”｜3种有隐患的交易策略｜小麦、伦镍、黄金,6950,4y ago,https://www.youtube.com/watch?v=xr34eWmfG6k
285,怎样处理交易中的诱惑？交易高手必须精通的一件事,6918,2mo ago,https://www.youtube.com/watch?v=k5FMcDihrdM
286,YouTuber发布了100部视频，发现交易者原来“好这口”？,6905,5y ago,https://www.youtube.com/watch?v=n5VlBF8psBc
287,让我分析还是让我交易？｜执行交易，做到什么程度才算合格？,6831,1y ago,https://www.youtube.com/watch?v=kfcWcIVzy-w
288,【海外期货外汇交易培训课程】图表交易者都应该掌握的“ATR指标”（平均真实波动幅度）,6818,6y ago,https://www.youtube.com/watch?v=5KTNwm_D6Ps
289,交易盈利第一步：搞清自己的盈利来源，普通交易者如何获利？｜交易系统的价值,6780,6mo ago,https://www.youtube.com/watch?v=z1l6heWbKaY
290,交易启示录：不要被别人盯上你人性的弱点｜真实交易故事,6677,11mo ago,https://www.youtube.com/watch?v=hstSQ3oIOjI
291,只有2类绝佳投资机会｜附：提供观察市场另一种视角,6652,4y ago,https://www.youtube.com/watch?v=9YreQV8aLT4
292,学历与人生成功的关系｜两个角度：普世和交易,6621,1y ago,https://www.youtube.com/watch?v=9EcR1eV_t-o
293,我还要不要交易规则？有纠结过么？,6593,3y ago,https://www.youtube.com/watch?v=4cwDka8M0hk
294,股票交易者提问：3个月收益350%，近两个月回撤50%，怎么优化？,6537,1y ago,https://www.youtube.com/watch?v=gjrx9kRC3sg
295,交易成功=预测未来？｜交易者应该如何获利？谈交易成功要素,6517,2y ago,https://www.youtube.com/watch?v=WBczl1gEg6I
296,我的观察与心得｜录制了200+期视频，聊聊交易者如何通过看视频来学习交易,6512,4y ago,https://www.youtube.com/watch?v=xwIp0_kvKm0
297,技术分析依靠什么赚钱？技术分析有效么？,6504,5y ago,https://www.youtube.com/watch?v=A2gKipuBFxs
298,300期特刊｜交易之外,6497,3y ago,https://www.youtube.com/watch?v=4gYJLJydJAs
299,一种简单有效的市场逻辑｜两个明显的市场机会｜一则重要的交易智慧,6473,2y ago,https://www.youtube.com/watch?v=G5iaLYHNDus
300,交易者的时间分配原则,6463,1y ago,https://www.youtube.com/watch?v=1i6RlFqZHTs
301,交易技术不对称：你的对手用什么和你交易？,6452,1mo ago,https://www.youtube.com/watch?v=HlqGfrCVYiA
302,贫富差距的秘密｜财富两极化的核心驱动，对交易层面的启示,6423,2y ago,https://www.youtube.com/watch?v=aX8KvBl7P4k
303,交易后置因素｜90%交易者忽略，但极为关键,6380,8mo ago,https://www.youtube.com/watch?v=JQpOXqud1IU
304,交易中的“钟摆运动”｜理性与非理性｜随机性｜周期｜,6333,2y ago,https://www.youtube.com/watch?v=LeOtSrbiDW0
305,13年职业交易员：裸K交易教程｜成交量分析&机构控盘｜价格行为交易｜Price Action Understanding Bias,6238,2y ago,https://www.youtube.com/watch?v=SlWnP-jLjNM
306,15年交易经验：如何理解价格包含一切？如何理解技术分析三大前提假设？,6144,7mo ago,https://www.youtube.com/watch?v=e2zjy0YChVw
307,段永平：做正确的事｜普通人，到底该怎么做？详细拆解段永平谈投资,6142,1y ago,https://www.youtube.com/watch?v=XoXhjKEf18c
308,10个重要的交易优势之“行为优势”｜交易执行力｜规则与经验的结合｜如何提高交易下限,6130,2y ago,https://www.youtube.com/watch?v=6jIvNemNC5s
309,10年交易经验分享：小心交易中那些正确的“废话”,6086,5y ago,https://www.youtube.com/watch?v=q_jk6k1xgiY
310,股票市场预测？｜关于抄底，谈2个方面,6068,4y ago,https://www.youtube.com/watch?v=zoCknpROTp0
311,交易答疑系列：只在自己构建的交易世界中执行交易,6057,2y ago,https://www.youtube.com/watch?v=pc0MwQ6iY4Y
312,“缅甸诈骗事件”启示录｜站在交易视角，探究市场和人性｜如何理性发财？,6057,2y ago,https://www.youtube.com/watch?v=31J8aWEq-C8
313,用一本书就将桥水Ray Dalio拉下神坛？｜哪些投资经验值得我们参考借鉴｜桥水基金的盈利模式｜《原则》一书的参考价值,6023,1y ago,https://www.youtube.com/watch?v=v4GZD53xfVY
314,分析师与交易员的思维区分｜分析与交易该如何结合？,5977,4y ago,https://www.youtube.com/watch?v=Qy2L00XhVA0
315,亏损的交易就是错的么？,5968,1y ago,https://www.youtube.com/watch?v=xLqtrdEgLmk
316,交易中的“标准答案”,5967,2y ago,https://www.youtube.com/watch?v=nmDmHluoRZk
317,金融投资书籍｜如何学习投资，教大家一个高效阅读的方法,5949,5y ago,https://www.youtube.com/watch?v=dkDIjMMObxg
318,交易中的“主动优势”｜测不准的人性,5859,2y ago,https://www.youtube.com/watch?v=1ksqJQNuqt0
319,英伟达4万亿｜坏消息不断，美股为何一直上涨,5852,8mo ago,https://www.youtube.com/watch?v=B7lozdLTgSE
320,交易教程｜技术分析基础：蜡烛图只是一种表达价格的方式,5836,6y ago,https://www.youtube.com/watch?v=W_Cz6lYxNAE
321,金融市场是否可以被预测,5824,5y ago,https://www.youtube.com/watch?v=8ek-zgi8zm4
322,展望2024，市场投资主线和我的应对策略（结尾附：前瞻型内容都不会谈的一个方面）,5796,2y ago,https://www.youtube.com/watch?v=8iHgG4vIVqM
323,钻潜交易团队内部会议节选：交易新探索之投机的艺术｜分享我眼中的投机,5680,2y ago,https://www.youtube.com/watch?v=Sx4VhWmlqVA
324,【海外期货外汇交易培训课程】如何理解和应用随机震荡指标（Stochastic Oscillator））,5675,6y ago,https://www.youtube.com/watch?v=686uTPzfcsQ
325,13年职业交易员：交易系统｜交易书籍｜牛市中也遵从二八法则么？｜JD1,5638,2y ago,https://www.youtube.com/watch?v=ad2WRAKNumo
326,交易是财富的重新分配｜成为赢家，必须掌握这3条交易心智模式（底层规律）,5601,1d ago,https://www.youtube.com/watch?v=BWiny18DKmI
327,交易必读系列：从真实交易经历出发，解读巴菲特｜《滚雪球｜巴菲特和他的财富人生》,5488,1y ago,https://www.youtube.com/watch?v=8XEazWcJezQ
328,11年职业交易员：从底层本质，理解K线，灵活运用K线,5375,5y ago,https://www.youtube.com/watch?v=o23uqycvmKk
329,我眼中的A股市场｜庄家、我们近期交易、3个交易要点,5251,7mo ago,https://www.youtube.com/watch?v=rcNXf7aYUrI
330,黄金再创新高，美元信用危机？接下来怎么做？,5237,10mo ago,https://www.youtube.com/watch?v=3wv1Pfqgwas
331,聊人性，金融交易是农场主给火鸡设计的游戏？｜最后两分钟必看,5170,4mo ago,https://www.youtube.com/watch?v=VciuvH5VKs0
332,【海外期货外汇交易培训课程】如何高效地寻找支持阻力位（下）,5162,6y ago,https://www.youtube.com/watch?v=rmsoRQdojEc
333,解读海外经典K线教程：误导与启发｜价格行为交易｜海外高播放量教程｜技术分析,5141,2y ago,https://www.youtube.com/watch?v=63DOjXA9V0I
334,股市获利经验大总结｜近期交易案例｜我们内训中是怎样做交易的,5139,11mo ago,https://www.youtube.com/watch?v=e0759kOj_vM
335,【海外期货外汇交易培训课程】避免踩坑，蜡烛图的常见使用误区,5077,6y ago,https://www.youtube.com/watch?v=U8lMKYWtCMg
336,【海外期货外汇交易培训课程】支撑阻力作用的通俗理解,5037,6y ago,https://www.youtube.com/watch?v=BZqIdFhonmA
337,16年交易经验：想成为交易高手，必须学会“空仓”｜战胜市场，获取超额收益的真相｜Alpha & Beta 收益,5028,8d ago,https://www.youtube.com/watch?v=DPh9v-kRJ7I
338,市场总是对的，还是总是错的？｜你的交易策略是基于哪一个观点制定的？,4936,2y ago,https://www.youtube.com/watch?v=bzTiMglBLHE
339,【海外期货外汇交易培训课程】市场中为何会出现支持和阻力作用呢？,4916,6y ago,https://www.youtube.com/watch?v=9gR2c4HtnpU
340,为何读了很多书，却还是没有做好交易？,4859,7mo ago,https://www.youtube.com/watch?v=Cd62_pciw9M
341,利润来自于恐慌｜市场恐慌的时候你买入了么？,4552,1y ago,https://www.youtube.com/watch?v=PcAb4Ngo7Hc
342,已持有的比特币要不要卖？有什么好的交易机会？做合约还是做现货？市场特征和注意事项,4500,8mo ago,https://www.youtube.com/watch?v=T7JI1GqnXAU
343,交易系统公开=失效？｜怎样的系统更容易失效｜怎样的交易方式就算被知晓也不受影响？,4450,1y ago,https://www.youtube.com/watch?v=FKsrmSkWQW8
344,【海外期货外汇交易培训课程】支撑和阻力在交易系统中的重要作用,4446,6y ago,https://www.youtube.com/watch?v=6yvtGO0EuWw
345,长线交易需要大资金么？,4426,1y ago,https://www.youtube.com/watch?v=bIclqv50rKE
346,【海外期货外汇交易培训课程】4种均线指标的详细介绍和应用,4231,6y ago,https://www.youtube.com/watch?v=tp54C2mL0co
347,交易对话：市场分析与操盘交易,4135,2y ago,https://www.youtube.com/watch?v=9_7fkmMgJtc
348,钻潜交易内训｜市场扫描Market Scan｜预览版,3768,2y ago,https://www.youtube.com/watch?v=pwI-gUEsB44
349,推荐一种搭配方式，关于程序、人工和主观交易,3671,1y ago,https://www.youtube.com/watch?v=kxEmkFk30VU
350,【海外期货外汇交易培训课程】MACD指标的详细介绍和应用,3528,6y ago,https://www.youtube.com/watch?v=ju_vpGZ_oLE
351,家人不支持做交易，怎么办？,3032,1y ago,https://www.youtube.com/watch?v=aEA2kcJe-_0
352,【海外期货外汇交易培训课程】Bollinger Bands 布林带指标的详细解读,2894,6y ago,https://www.youtube.com/watch?v=qlfWvAIfln0
353,细数那些外汇交易中，投资者需要支付的成本,2567,6y ago,https://www.youtube.com/watch?v=NUMlxiBClTo
354,【海外期货外汇交易培训课程】切记随意叠加技术分析指标,2471,6y ago,https://www.youtube.com/watch?v=YbvlSi8CycI
355,期貨外匯交易指南|這段市場行情你怎麼看？,1918,6y ago,https://www.youtube.com/watch?v=fyVSWI_UWOM
356,活久见！黄金市场出现极端状况，美国股指接近20%涨幅,789,5y ago,https://www.youtube.com/watch?v=SzFBEQqpE7U
